event_id,date,category,duration_hours,description
CAL00000,2024-01-01,deep_work,0.5,Deep Work session
CAL00001,2024-01-01,training,1.0,Training session
CAL00002,2024-01-01,admin,1.5,Admin session
CAL00003,2024-01-01,stakeholder_meetings,0.5,Stakeholder Meetings session
CAL00004,2024-01-01,deep_work,1.5,Deep Work session
CAL00005,2024-01-01,stakeholder_meetings,1.0,Stakeholder Meetings session
CAL00006,2024-01-02,admin,1.0,Admin session
CAL00007,2024-01-02,deep_work,1.0,Deep Work session
CAL00008,2024-01-02,admin,1.5,Admin session
CAL00009,2024-01-02,stakeholder_meetings,1.5,Stakeholder Meetings session
CAL00010,2024-01-02,admin,2.0,Admin session
CAL00011,2024-01-02,training,1.0,Training session
CAL00012,2024-01-02,training,1.0,Training session
CAL00013,2024-01-02,stakeholder_meetings,2.0,Stakeholder Meetings session
CAL00014,2024-01-03,documentation,1.0,Documentation session
CAL00015,2024-01-03,deep_work,1.0,Deep Work session
CAL00016,2024-01-03,deep_work,1.5,Deep Work session
CAL00017,2024-01-03,deep_work,1.5,Deep Work session
CAL00018,2024-01-03,stakeholder_meetings,1.0,Stakeholder Meetings session
CAL00019,2024-01-03,admin,1.0,Admin session
CAL00020,2024-01-04,training,0.5,Training session
CAL00021,2024-01-04,deep_work,1.0,Deep Work session
CAL00022,2024-01-04,stakeholder_meetings,1.0,Stakeholder Meetings session
CAL00023,2024-01-04,stakeholder_meetings,0.5,Stakeholder Meetings session
CAL00024,2024-01-04,stakeholder_meetings,1.0,Stakeholder Meetings session
CAL00025,2024-01-04,stakeholder_meetings,0.5,Stakeholder Meetings session
CAL00026,2024-01-04,deep_work,1.5,Deep Work session
CAL00027,2024-01-04,admin,1.0,Admin session
CAL00028,2024-01-05,documentation,1.5,Documentation session
CAL00029,2024-01-05,deep_work,0.5,Deep Work session
CAL00030,2024-01-05,stakeholder_meetings,0.5,Stakeholder Meetings session
CAL00031,2024-01-05,training,0.5,Training session
CAL00032,2024-01-05,admin,1.0,Admin session
CAL00033,2024-01-05,stakeholder_meetings,2.0,Stakeholder Meetings session
CAL00034,2024-01-05,admin,1.5,Admin session
CAL00035,2024-01-05,deep_work,1.5,Deep Work session
CAL00036,2024-01-08,documentation,1.0,Documentation session
CAL00037,2024-01-08,deep_work,2.0,Deep Work session
CAL00038,2024-01-08,stakeholder_meetings,0.5,Stakeholder Meetings session
CAL00039,2024-01-08,stakeholder_meetings,0.5,Stakeholder Meetings session
CAL00040,2024-01-08,stakeholder_meetings,1.0,Stakeholder Meetings session
CAL00041,2024-01-09,stakeholder_meetings,1.5,Stakeholder Meetings session
CAL00042,2024-01-09,stakeholder_meetings,1.0,Stakeholder Meetings session
CAL00043,2024-01-09,training,0.5,Training session
CAL00044,2024-01-09,documentation,1.0,Documentation session
CAL00045,2024-01-10,admin,1.5,Admin session
CAL00046,2024-01-10,deep_work,2.0,Deep Work session
CAL00047,2024-01-10,deep_work,1.0,Deep Work session
CAL00048,2024-01-10,deep_work,1.0,Deep Work session
CAL00049,2024-01-10,training,0.5,Training session
CAL00050,2024-01-10,deep_work,1.0,Deep Work session
CAL00051,2024-01-10,deep_work,1.5,Deep Work session
CAL00052,2024-01-11,stakeholder_meetings,2.0,Stakeholder Meetings session
CAL00053,2024-01-11,admin,0.5,Admin session
CAL00054,2024-01-11,training,1.0,Training session
CAL00055,2024-01-11,stakeholder_meetings,1.0,Stakeholder Meetings session
CAL00056,2024-01-11,deep_work,1.0,Deep Work session
CAL00057,2024-01-12,training,0.5,Training session
CAL00058,2024-01-12,documentation,1.0,Documentation session
CAL00059,2024-01-12,stakeholder_meetings,1.5,Stakeholder Meetings session
CAL00060,2024-01-12,stakeholder_meetings,1.0,Stakeholder Meetings session
CAL00061,2024-01-12,deep_work,1.0,Deep Work session
CAL00062,2024-01-12,documentation,0.5,Documentation session
CAL00063,2024-01-12,deep_work,0.5,Deep Work session
CAL00064,2024-01-15,deep_work,1.0,Deep Work session
CAL00065,2024-01-15,deep_work,2.0,Deep Work session
CAL00066,2024-01-15,training,1.0,Training session
CAL00067,2024-01-15,deep_work,1.0,Deep Work session
CAL00068,2024-01-15,deep_work,2.0,Deep Work session
CAL00069,2024-01-16,stakeholder_meetings,1.0,Stakeholder Meetings session
CAL00070,2024-01-16,training,1.0,Training session
CAL00071,2024-01-16,stakeholder_meetings,0.5,Stakeholder Meetings session
CAL00072,2024-01-16,stakeholder_meetings,1.0,Stakeholder Meetings session
CAL00073,2024-01-17,stakeholder_meetings,1.0,Stakeholder Meetings session
CAL00074,2024-01-17,admin,1.5,Admin session
CAL00075,2024-01-17,deep_work,0.5,Deep Work session
CAL00076,2024-01-17,deep_work,0.5,Deep Work session
CAL00077,2024-01-17,stakeholder_meetings,0.5,Stakeholder Meetings session
