case_id,user_id,submitted_time,decision_time,decision,failure_reason,device_os,region
KYC000000,U000003,2024-09-27 05:37:23.337486,2024-09-27 09:55:40.645021,rejected,age_restriction,Android,Cairo
KYC000001,U000004,2024-11-07 03:11:32.769597,2024-11-11 01:38:58.933292,approved,,Android,Giza
KYC000002,U000006,2024-06-05 10:01:04.872698,2024-06-06 02:46:35.631358,approved,,Android,Sharqia
KYC000003,U000007,2024-01-28 13:46:16.583335,2024-01-30 18:09:41.300201,approved,,iOS,Dakahlia
KYC000004,U000008,2024-11-05 11:36:43.797826,2024-11-08 22:07:17.725934,approved,,iOS,Cairo
KYC000005,U000010,2024-11-02 04:12:42.242694,2024-11-02 16:19:00.440970,approved,,Android,Giza
KYC000006,U000011,2024-10-08 16:18:50.919397,2024-10-11 06:19:19.557541,approved,,iOS,Alexandria
KYC000007,U000012,2024-04-21 19:09:27.080611,2024-04-24 20:36:19.321014,approved,,Android,Cairo
KYC000008,U000014,2024-05-02 15:02:17.336915,2024-05-09 15:12:38.807313,approved,,Android,Sharqia
KYC000009,U000015,2024-09-04 03:52:01.657843,2024-09-08 00:25:47.838865,rejected,watchlist_hit,iOS,Dakahlia
KYC000010,U000019,2024-08-03 01:24:41.260810,2024-08-04 13:09:26.292936,rejected,document_quality,iOS,Dakahlia
KYC000011,U000020,2024-02-23 03:25:21.669193,2024-02-25 21:01:11.290429,rejected,watchlist_hit,Android,Alexandria
KYC000012,U000023,2024-04-16 23:23:15.675624,2024-04-18 13:46:43.348194,approved,,iOS,Sharqia
KYC000013,U000025,2024-07-05 08:49:33.854138,2024-07-08 04:12:05.440096,approved,,iOS,Dakahlia
KYC000014,U000027,2024-04-23 22:39:41.133508,2024-04-28 15:54:57.143401,approved,,Android,Cairo
KYC000015,U000028,2024-03-09 09:58:58.976010,2024-03-13 10:55:44.481364,rejected,identity_mismatch,Android,Cairo
KYC000016,U000031,2024-03-07 13:11:54.452258,2024-03-10 04:25:31.944582,approved,,iOS,Alexandria
KYC000017,U000033,2024-03-12 23:10:13.650879,2024-03-13 12:18:10.852645,approved,,iOS,Dakahlia
KYC000018,U000034,2024-11-29 00:25:15.743158,2024-11-29 10:29:41.002527,rejected,document_quality,iOS,Cairo
