user_id,created_at,channel,device_os,region,age_band
U000001,2024-09-25 12:36:44,organic,Android,Cairo,55+
U000002,2024-07-05 06:41:18,partnership,iOS,Giza,35-44
U000003,2024-09-26 23:57:30,referral,Android,Cairo,55+
U000004,2024-11-06 20:42:47,paid_search,Android,Giza,25-34
U000005,2024-09-01 00:03:08,referral,Android,Sharqia,25-34
U000006,2024-06-03 02:38:12,paid_social,Android,Sharqia,25-34
U000007,2024-01-26 20:41:29,organic,iOS,Dakahlia,25-34
U000008,2024-11-05 10:37:10,referral,iOS,Cairo,25-34
U000009,2024-06-17 19:43:06,paid_social,Android,Cairo,25-34
U000010,2024-10-31 10:04:58,organic,Android,Giza,25-34
U000011,2024-10-04 13:30:28,paid_search,iOS,Alexandria,35-44
U000012,2024-04-21 10:35:19,referral,Android,Cairo,35-44
U000013,2024-09-02 22:41:27,referral,Android,Alexandria,35-44
U000014,2024-05-01 20:07:30,paid_search,Android,Sharqia,25-34
U000015,2024-09-03 12:54:45,paid_search,iOS,Dakahlia,25-34
U000016,2024-03-26 16:54:12,organic,Android,Cairo,18-24
U000017,2024-02-27 15:45:05,paid_social,Android,Alexandria,18-24
U000018,2024-06-10 11:56:07,partnership,iOS,Giza,25-34
U000019,2024-08-02 15:08:27,paid_social,iOS,Dakahlia,18-24
U000020,2024-02-22 07:56:13,organic,Android,Alexandria,25-34
U000021,2024-03-10 16:11:17,paid_social,Android,Sharqia,25-34
U000022,2024-02-08 17:06:09,organic,iOS,Giza,18-24
U000023,2024-04-16 06:05:51,referral,iOS,Sharqia,25-34
U000024,2024-01-02 04:42:35,referral,iOS,Giza,18-24
U000025,2024-07-03 18:33:56,referral,iOS,Dakahlia,18-24
U000026,2024-01-15 14:45:52,paid_social,iOS,Dakahlia,18-24
U000027,2024-04-23 05:57:13,organic,Android,Cairo,18-24
U000028,2024-03-06 13:33:09,paid_search,Android,Cairo,25-34
U000029,2024-04-22 05:19:39,partnership,Android,Dakahlia,25-34
U000030,2024-04-17 16:54:08,paid_social,iOS,Cairo,25-34
U000031,2024-03-07 11:17:46,organic,iOS,Alexandria,18-24
U000032,2024-05-03 04:14:50,organic,iOS,Dakahlia,18-24
U000033,2024-03-11 18:16:30,referral,iOS,Dakahlia,35-44
U000034,2024-11-28 03:10:33,paid_social,iOS,Cairo,25-34
U000035,2024-06-02 05:08:43,organic,iOS,Alexandria,25-34
U000036,2024-09-05 19:49:15,partnership,Web,Alexandria,25-34
U000037,2024-11-04 15:26:06,organic,iOS,Cairo,55+
U000038,2024-05-26 09:30:37,referral,Android,Sharqia,25-34
U000039,2024-08-20 02:15:25,referral,iOS,Giza,25-34
U000040,2024-07-14 03:51:10,paid_social,iOS,Sharqia,18-24
U000041,2024-02-29 13:53:01,paid_search,Android,Cairo,25-34
U000042,2024-08-04 19:12:50,organic,iOS,Alexandria,25-34
U000043,2024-11-15 05:40:06,paid_social,iOS,Dakahlia,18-24
U000044,2024-11-27 11:41:39,paid_search,Web,Alexandria,18-24
U000045,2024-11-17 23:26:55,referral,Android,Cairo,55+
U000046,2024-10-16 13:58:16,partnership,iOS,Sharqia,45-54
U000047,2024-01-29 02:33:08,referral,iOS,Dakahlia,35-44
U000048,2024-10-24 09:13:22,paid_social,Android,Alexandria,45-54
U000049,2024-01-31 19:44:06,referral,Android,Giza,18-24
U000050,2024-11-17 05:01:08,referral,Android,Cairo,35-44
U000051,2024-09-14 20:02:16,paid_social,iOS,Sharqia,18-24
U000052,2024-05-06 20:10:14,organic,Android,Dakahlia,25-34
U000053,2024-09-28 01:02:09,organic,iOS,Cairo,35-44
U000054,2024-06-26 14:47:31,organic,iOS,Cairo,18-24
U000055,2024-08-21 17:24:40,paid_social,Android,Dakahlia,35-44
U000056,2024-08-21 08:47:55,referral,iOS,Cairo,25-34
U000057,2024-02-09 04:22:37,paid_social,Android,Sharqia,25-34
U000058,2024-07-03 10:01:21,organic,Android,Sharqia,45-54
U000059,2024-05-09 10:42:01,paid_social,Android,Dakahlia,45-54
U000060,2024-01-17 23:08:09,partnership,iOS,Giza,18-24
U000061,2024-07-13 23:16:04,organic,iOS,Alexandria,25-34
U000062,2024-08-03 07:28:01,referral,iOS,Cairo,25-34
U000063,2024-08-13 23:01:39,referral,iOS,Giza,18-24
U000064,2024-11-26 14:19:07,paid_social,Android,Alexandria,45-54
U000065,2024-05-11 20:32:46,referral,iOS,Giza,18-24
U000066,2024-06-26 18:21:47,paid_search,iOS,Cairo,18-24
U000067,2024-08-29 03:08:54,partnership,iOS,Cairo,18-24
U000068,2024-01-31 21:39:55,paid_social,iOS,Cairo,25-34
U000069,2024-05-28 14:30:20,organic,Android,Dakahlia,18-24
U000070,2024-09-09 00:38:31,organic,Android,Alexandria,25-34
U000071,2024-06-05 00:24:14,organic,Android,Cairo,25-34
U000072,2024-03-15 01:13:06,paid_social,Android,Alexandria,25-34
U000073,2024-06-01 15:07:57,paid_social,Android,Cairo,18-24
U000074,2024-01-22 15:42:08,referral,iOS,Dakahlia,25-34
U000075,2024-02-18 02:14:59,paid_search,iOS,Giza,25-34
U000076,2024-05-06 16:34:57,referral,Android,Cairo,25-34
U000077,2024-11-07 19:07:19,referral,iOS,Cairo,18-24
U000078,2024-09-23 12:24:35,partnership,iOS,Sharqia,18-24
U000079,2024-06-12 02:14:21,organic,Web,Giza,18-24
U000080,2024-08-08 20:43:49,paid_search,iOS,Cairo,35-44
U000081,2024-08-27 10:30:13,referral,Android,Alexandria,18-24
U000082,2024-09-15 12:13:55,paid_social,Android,Cairo,25-34
U000083,2024-09-13 20:25:25,partnership,iOS,Cairo,25-34
U000084,2024-01-04 03:30:36,referral,iOS,Dakahlia,55+
U000085,2024-02-11 11:45:02,paid_social,Android,Cairo,35-44
U000086,2024-11-11 12:35:29,referral,iOS,Dakahlia,45-54
U000087,2024-03-25 06:36:09,paid_social,iOS,Alexandria,35-44
U000088,2024-08-08 19:04:11,referral,Web,Cairo,25-34
U000089,2024-04-09 08:49:37,paid_search,Android,Dakahlia,45-54
U000090,2024-08-12 22:48:41,partnership,iOS,Alexandria,25-34
U000091,2024-07-27 21:35:57,partnership,iOS,Giza,25-34
U000092,2024-08-25 19:22:11,paid_social,Android,Dakahlia,25-34
U000093,2024-07-25 07:06:53,referral,iOS,Sharqia,25-34
U000094,2024-02-05 06:27:42,paid_social,iOS,Cairo,35-44
U000095,2024-11-05 14:37:02,paid_search,iOS,Cairo,18-24
U000096,2024-05-07 00:13:59,referral,iOS,Alexandria,18-24
U000097,2024-01-07 12:51:25,organic,Android,Cairo,35-44
U000098,2024-02-03 07:46:30,organic,Android,Alexandria,25-34
U000099,2024-09-15 22:53:47,referral,iOS,Cairo,35-44
U000100,2024-11-02 10:52:40,referral,iOS,Alexandria,55+
U000101,2024-01-12 15:48:13,partnership,iOS,Cairo,18-24
U000102,2024-09-06 10:29:59,partnership,Android,Dakahlia,18-24
U000103,2024-02-08 23:10:12,referral,iOS,Giza,25-34
U000104,2024-10-18 12:57:51,referral,iOS,Cairo,45-54
U000105,2024-09-12 03:26:36,partnership,Web,Dakahlia,18-24
U000106,2024-10-11 13:02:09,paid_social,iOS,Cairo,18-24
U000107,2024-02-01 07:10:38,referral,Web,Alexandria,18-24
U000108,2024-01-31 10:45:08,paid_social,iOS,Cairo,25-34
U000109,2024-02-10 10:44:39,referral,iOS,Dakahlia,25-34
U000110,2024-09-15 00:53:45,paid_social,Android,Alexandria,35-44
U000111,2024-08-02 15:20:56,referral,iOS,Cairo,35-44
U000112,2024-09-29 00:03:07,paid_social,iOS,Sharqia,35-44
U000113,2024-06-29 15:02:19,referral,iOS,Cairo,25-34
U000114,2024-05-07 08:12:28,partnership,Web,Sharqia,25-34
U000115,2024-01-15 20:59:20,paid_search,iOS,Cairo,25-34
U000116,2024-09-21 13:22:22,paid_search,Android,Dakahlia,25-34
U000117,2024-02-29 20:57:16,organic,Android,Giza,18-24
