kpi_name,business_definition,sql_definition,numerator,denominator,time_window,segmentation_dimensions,caveats_edge_cases,owner
onboarding_completion_rate,"Percentage of users who complete KYC verification within 7 days of starting registration","COUNT(DISTINCT CASE WHEN kyc_approved AND days_to_kyc <= 7 THEN user_id END) / COUNT(DISTINCT CASE WHEN registration_start THEN user_id END)","Users with kyc_approved event within 7 days of registration_start","Users with registration_start event","7 days from registration_start","channel, device_os, region, age_band","Excludes users who haven't reached 7-day window yet. KYC resubmissions count as single attempt.","Product Analytics Team"
activation_rate,"Percentage of users who complete their first transaction within 14 days of account creation","COUNT(DISTINCT CASE WHEN first_transaction AND days_since_account <= 14 THEN user_id END) / COUNT(DISTINCT CASE WHEN account_created THEN user_id END)","Users with first_transaction within 14 days of account_created","Users with account_created event","14 days from account_created","channel, device_os, region","Users still in 14-day window excluded from denominator. Failed transactions do not count.","Growth Team"
week1_retention_proxy,"Percentage of activated users who remain active in their first week","COUNT(DISTINCT CASE WHEN week1_active THEN user_id END) / COUNT(DISTINCT CASE WHEN first_transaction THEN user_id END)","Users with week1_active event","Users with first_transaction event","7 days from first_transaction","channel, cohort_month","Week1_active defined as 2+ transactions or 3+ logins within 7 days. Time window may not have elapsed for recent cohorts.","Retention Team"
median_kyc_turnaround_time,"Median time from KYC submission to decision (approved or rejected)","MEDIAN(JULIANDAY(decision_time) - JULIANDAY(submitted_time)) * 24","Time difference in hours between decision_time and submitted_time","N/A (single metric, not a ratio)","Per KYC case","decision (approved/rejected), device_os, region","Business hours vs. calendar hours distinction. Resubmissions reset the clock. Weekends may inflate median.","Operations Team"
kyc_failure_rate,"Percentage of KYC cases that are rejected on first submission","COUNT(CASE WHEN decision = 'rejected' THEN 1 END) / COUNT(*)","KYC cases with decision = 'rejected'","Total KYC cases submitted","Per submission","device_os, region, failure_reason","Resubmissions after rejection not included in denominator. Automated vs manual review distinction not captured.","Risk & Compliance Team"
ticket_rate_per_1000_users,"Number of support tickets created per 1,000 users","(COUNT(DISTINCT ticket_id) / COUNT(DISTINCT user_id)) * 1000","Total support tickets created","Total registered users, scaled by 1000","Lifetime or specified cohort period","channel, user_tenure, topic","Some users create multiple tickets. Rate does not account for ticket severity. New users may not have had time to encounter issues.","Customer Support Team"
median_time_to_first_transaction,"Median time from account creation to first completed transaction","MEDIAN(JULIANDAY(first_transaction_time) - JULIANDAY(account_created_time)) * 24","Time difference in hours between first_transaction and account_created","N/A (single metric, not a ratio)","Per user who transacts","channel, funding_method","Only includes users who eventually transact. Users who never transact are excluded, biasing metric downward.","Product Analytics Team"
funding_success_rate,"Percentage of first_funding attempts that succeed","COUNT(CASE WHEN first_funding AND funding_status = 'success' THEN 1 END) / COUNT(CASE WHEN first_funding_attempted THEN 1 END)","Successful first_funding events","Total first_funding attempts","Per funding attempt","funding_method, bank_partner","Requires instrumentation of funding_status. Failed attempts followed by retry may double-count. External bank downtime can temporarily depress rate.","Payments Team"
txn_success_rate,"Percentage of transaction attempts that complete successfully","COUNT(CASE WHEN status = 'success' THEN 1 END) / COUNT(*)","Transactions with status = 'success'","Total transaction attempts","Rolling 7-day, 30-day, or all-time","category, payment_method, merchant","Pending transactions excluded from numerator but included in denominator. User-initiated cancellations vs system failures not distinguished.","Payments Team"
dropout_rate_at_verification,"Percentage of users who start registration but do not submit verification documents","(COUNT(DISTINCT CASE WHEN registration_start THEN user_id END) - COUNT(DISTINCT CASE WHEN verification_submitted THEN user_id END)) / COUNT(DISTINCT CASE WHEN registration_start THEN user_id END)","Users with registration_start but no verification_submitted","Users with registration_start","30 days from registration_start (allow time to complete)","channel, device_os, screen_exit_point","Users may still be in-flow. Long time windows reduce accuracy. High rates suggest UX friction or unclear requirements.","Product Team"
account_creation_rate,"Percentage of KYC-approved users who proceed to create an account","COUNT(DISTINCT CASE WHEN account_created THEN user_id END) / COUNT(DISTINCT CASE WHEN kyc_approved THEN user_id END)","Users with account_created event","Users with kyc_approved event","7 days from kyc_approved","channel, device_os","Theoretically should be 100% (automated flow), but technical failures or user abandonment can cause drop-off. Investigate if <95%.","Engineering Team"
conversion_paid_social_vs_referral,"Ratio of activation rates between paid_social and referral channels","activation_rate(paid_social) / activation_rate(referral)","Activation rate of paid_social channel","Activation rate of referral channel","Same period for both channels","None (comparison metric)","Not a standalone KPI. Used to benchmark channel quality. Referral typically outperforms paid due to trust signal. Target ratio: 0.6-0.8.","Marketing Team"
avg_transaction_value,"Average monetary value of completed transactions","SUM(amount WHERE status = 'success') / COUNT(*) WHERE status = 'success')","Sum of transaction amounts (successful only)","Count of successful transactions","Rolling 30-day or per cohort","category, user_tenure, region","Outlier transactions (very large or very small) can skew. Consider median as alternative. Currency conversion required for multi-currency.","Finance Team"
