user_id,channel,region,age_band,segment,recency_days,frequency,monetary,avg_txn_value
U000006,paid_social,Sharqia,25-34,Power Users,188.03243401646614,9,8369.404929757584,1046.175616219698
U000007,organic,Dakahlia,25-34,Dormant,330.70769865764305,5,3488.0303177949568,872.0075794487392
U000008,referral,Cairo,25-34,Power Users,51.962714444380254,6,2120.453649079332,530.113412269833
U000012,referral,Cairo,35-44,Power Users,243.49772706022486,8,4936.338565785506,617.0423207231883
U000025,referral,Dakahlia,18-24,Dormant,164.8701577433385,3,484.9846265428029,161.6615421809343
U000027,organic,Cairo,18-24,Dormant,239.32359973387793,6,1168.7299776006173,194.78832960010288
U000031,organic,Alexandria,18-24,Dormant,291.7393748150207,5,973.4252207846986,243.35630519617465
U000036,partnership,Alexandria,25-34,Dormant,115.05654673604295,2,1140.3107819496515,570.1553909748258
U000038,referral,Sharqia,25-34,Power Users,215.93718562508002,11,2881.735741495242,320.192860166138
U000049,referral,Giza,18-24,Dormant,330.81175854150206,6,1342.09201832299,268.41840366459803
U000050,referral,Cairo,35-44,Power Users,26.99900388903916,9,4611.510520949236,512.3900578832485
U000052,organic,Dakahlia,25-34,Dormant,224.36258262721822,3,966.9544673029429,483.47723365147147
U000062,referral,Cairo,25-34,Dormant,143.19991445587948,5,2881.492923149977,576.2985846299954
U000066,paid_search,Cairo,18-24,Power Users,177.97026440966874,8,5463.727789280126,780.5325413257323
U000075,paid_search,Giza,25-34,Dormant,302.9040886228904,2,1470.1106851563366,735.0553425781683
U000081,referral,Alexandria,18-24,Dormant,117.58985750004649,6,2709.1359114313154,541.8271822862631
U000083,partnership,Cairo,25-34,Dormant,105.7900097570382,5,3567.7467231899504,713.5493446379901
U000086,referral,Dakahlia,45-54,Power Users,41.99514942150563,6,2903.3313015046615,483.8885502507769
U000099,referral,Cairo,35-44,Power Users,97.99638703698292,6,3061.0429707850476,510.1738284641746
U000100,referral,Alexandria,55+,Power Users,55.01366217620671,8,2542.7479106410938,363.24970152015624
U000101,partnership,Cairo,18-24,Dormant,335.10401084506884,7,2297.4683876378303,328.2097696625472
U000102,partnership,Dakahlia,18-24,Dormant,104.70311444438994,6,2570.532090741415,428.4220151235691
U000104,referral,Cairo,45-54,Power Users,60.40574777778238,6,3544.123218518842,590.6872030864737
U000105,partnership,Dakahlia,18-24,Dormant,103.07661997713149,2,1958.112337754256,979.056168877128
U000111,referral,Cairo,35-44,Dormant,128.17563395854086,7,1239.6339673163884,247.92679346327768
U000118,paid_social,Dakahlia,35-44,Dormant,146.40365467593074,4,1165.3304883822896,291.3326220955724
U000121,referral,Alexandria,18-24,Dormant,279.86634888872504,5,3115.282797227778,623.0565594455555
U000123,organic,Giza,18-24,Power Users,149.45833792816848,7,3265.494045796468,544.2490076327447
